message_id,user_id,conversation_type,group_id,business_id,sender_user_id,created_at,message_text,media_type,media_id,forwarded_count,action,message_type,reason,confidence,evidence_message_ids
sample_msg_001,u_011,group,group_002,,u_043,2026-07-31 11:09,"Tower B folks, quick heads-up. The tanker guy is saying he can wait maybe 20 mins max because he has another stop after this. Motor room valve is still open, so if your flat missed morning supply, pls fill drinking water now. I know this is annoying, but better to store a little. Will update after 6 once plumber confirms.",,,0,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0001
sample_msg_002,u_006,group,group_003,,u_045,2026-07-31 14:16,"Route B parents, small change for today. Bus is leaving 15 mins early because stadium road is blocked and driver said he really cannot wait at each stop. Pls keep kids down by 7:35. If your child is absent, just reply once here so teacher can mark it.",,,0,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0002
sample_msg_003,u_010,group,group_004,,u_046,2026-07-31 17:22,"@u_010 prod review got pulled to 3, sorry for the last-minute shuffle. Can you join with queue numbers and failed-payment screenshots? Need to close the client note before EOD and I don't want to send half context.",,,0,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0003
sample_msg_004,u_001,business,,business_001,,2026-07-31 08:28,"Hi Customer,

Your order ending 4821 has been packed and is expected to reach the local hub today.

You can check delivery details and delivery-code instructions in your Amazon app.

Team Amazon",,,0,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0004
sample_msg_005,u_003,business,,business_004,,2026-07-31 11:35,"Dear Customer,

Your health-related update is ready for review.

Please check appointment, prescription, claim, or pickup details in the registered app before the scheduled time.

Team Care Services",,,0,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0005
sample_msg_006,u_004,group,group_006,,u_054,2026-07-31 14:41,"@u_004 when you get 5 mins can you call? Nothing dramatic, just checking if Sunday pickup still works for you before I confirm cab count.",,,0,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0006
sample_msg_007,u_012,business,,business_092,,2026-07-31 17:47,"When did a trip last change something about how you see yourself?

Ladakh is built for that. 7 nights, all in, from Rs 17,999 per person.

Tap below to view the itinerary.

Reply STOP to unsubscribe from marketing messages.",,,0,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.78,message_0007
sample_msg_008,u_015,group,group_010,,u_043,2026-07-31 08:53,"Cultural night form is open till next Sunday. Add flat no and item or dish in the sheet whenever you get time. No need to reply done here, otherwise this group will become impossible to read.",,,0,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.84,message_0008
sample_msg_009,u_035,group,group_009,,u_042,2026-07-31 11:58,"Good morning everyone. Group has been quiet, so just saying hope today is peaceful for all. No need to respond, just sending good vibes.",,,0,digest,greeting,The message is a harmless greeting that can be read later.,0.82,message_0009
sample_msg_010,u_026,group,group_015,,u_054,2026-07-31 14:04,"Anyone watching the match tonight? I might start the score thread after dinner. No pressure at all, join only if you are already watching.",,,0,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0010
