message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,A verified business sent a time-sensitive update tied to user history.,0.89,message_0243;message_0102
msg_091,mute,scam,"The message asks for sensitive verification, payment, or account action through a suspicious flow.",0.95,message_0238;message_0381
msg_090,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.7,message_0340;message_0339
msg_048,mute,scam,"The message asks for sensitive verification, payment, or account action through a suspicious flow.",0.95,message_0151;message_0152
msg_040,mute,greeting,The sender has a pattern of repeated forwards or greetings that are low value for this user.,0.88,message_0136;message_0135
msg_075,digest,business_update,The verified business update appears legitimate but not urgent.,0.78,message_0206;message_0205
msg_005,notify,event,The message is time-sensitive or asks the user to act soon.,0.84,message_0401;message_0065
msg_104,notify,event,The message is time-sensitive or asks the user to act soon.,0.84,message_0383;message_0232
msg_069,mute,greeting,The sender has a pattern of repeated forwards or greetings that are low value for this user.,0.88,message_0042;message_0080
msg_107,mute,scam,"The message asks for sensitive verification, payment, or account action through a suspicious flow.",0.95,message_0235;message_0056
msg_070,digest,personal,The message appears safe and can be read later.,0.68,message_0369;message_0213
msg_003,notify,urgent,The message is time-sensitive or asks the user to act soon.,0.84,message_0400;message_0031
msg_099,notify,event,The message is time-sensitive or asks the user to act soon.,0.84,message_0227;message_0249
msg_008,notify,event,A verified business sent a time-sensitive update tied to user history.,0.89,message_0296;message_0072
msg_092,digest,business_update,The verified business update appears legitimate but not urgent.,0.78,message_0346;message_0345
msg_060,digest,promotion,The offer is low priority and can be handled later.,0.75,message_0284;message_0176
msg_004,notify,event,A verified business sent a time-sensitive update tied to user history.,0.89,message_0245;message_0005
msg_030,mute,promotion,The offer is low priority and can be handled later.,0.75,message_0115;message_0335
msg_045,notify,event,The message is time-sensitive or asks the user to act soon.,0.84,message_0146;message_0145
msg_052,mute,scam,"The message asks for sensitive verification, payment, or account action through a suspicious flow.",0.95,message_0208;message_0207
msg_009,digest,personal,The message appears safe and can be read later.,0.68,message_0074;message_0073
msg_071,digest,personal,The message appears safe and can be read later.,0.68,message_0197;message_0198
msg_016,mute,scam,"The message asks for sensitive verification, payment, or account action through a suspicious flow.",0.95,message_0024;message_0201
msg_065,mute,scam,"The message asks for sensitive verification, payment, or account action through a suspicious flow.",0.95,message_0261;message_0185
msg_038,mute,forward,The sender has a pattern of repeated forwards or greetings that are low value for this user.,0.88,message_0131;message_0132
msg_086,digest,business_update,The verified business update appears legitimate but not urgent.,0.78,message_0222
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0258;message_0018
msg_094,mute,promotion,The promotional message is low priority and does not need an immediate alert.,0.78,message_0357;message_0212
msg_029,mute,promotion,The offer is low priority and can be handled later.,0.75,message_0401;message_0113
msg_105,mute,forward,The sender has a pattern of repeated forwards or greetings that are low value for this user.,0.88,message_0373;message_0233
msg_002,notify,event,The message is time-sensitive or asks the user to act soon.,0.84,message_0266;message_0003
msg_010,digest,business_update,The verified business update appears legitimate but not urgent.,0.78,message_0242;message_0011
msg_078,digest,urgent,The message appears safe and can be read later.,0.68,message_0211;message_0212
msg_013,digest,promotion,The offer is low priority and can be handled later.,0.75,message_0081;message_0082
msg_018,notify,urgent,The message is time-sensitive or asks the user to act soon.,0.84,message_0091;message_0092
msg_044,mute,scam,"The message asks for sensitive verification, payment, or account action through a suspicious flow.",0.95,message_0143;message_0144
msg_032,digest,event,The message appears safe and can be read later.,0.68,message_0119;message_0285
msg_106,notify,event,The message is time-sensitive or asks the user to act soon.,0.84,message_0376;message_0234
msg_006,notify,payment,The message is time-sensitive or asks the user to act soon.,0.84,message_0044;message_0029
msg_109,mute,scam,"The message asks for sensitive verification, payment, or account action through a suspicious flow.",0.95,message_0151;message_0237
msg_108,mute,scam,"The message asks for sensitive verification, payment, or account action through a suspicious flow.",0.95,message_0094;message_0093
msg_019,digest,business_update,The business update appears safe but not urgent.,0.73,message_0094;message_0236
msg_088,digest,personal,The message appears safe and can be read later.,0.68,message_0224
msg_056,notify,event,The message is time-sensitive or asks the user to act soon.,0.84,message_0226;message_0359
msg_027,digest,promotion,The promotional message is low priority and does not need an immediate alert.,0.78,message_0272;message_0033
msg_050,notify,event,The message is time-sensitive or asks the user to act soon.,0.84,message_0279;message_0155
msg_083,digest,personal,The message appears safe and can be read later.,0.68,none
msg_063,notify,payment,The message is time-sensitive or asks the user to act soon.,0.84,message_0181;message_0182
msg_033,digest,urgent,The message appears safe and can be read later.,0.68,message_0121;message_0122
msg_061,mute,greeting,The sender has a pattern of repeated forwards or greetings that are low value for this user.,0.88,message_0080;message_0042
msg_020,notify,urgent,The message is time-sensitive or asks the user to act soon.,0.84,message_0096;message_0095
msg_017,notify,urgent,The message is time-sensitive or asks the user to act soon.,0.84,message_0090;message_0089
msg_058,mute,forward,The sender has a pattern of repeated forwards or greetings that are low value for this user.,0.88,message_0039;message_0241
