user_id,date,notifications_sent,notifications_dismissed
u_001,2026-07-04,2,1
u_001,2026-07-05,2,1
u_001,2026-07-06,7,1
u_001,2026-07-07,5,1
u_001,2026-07-08,5,1
u_001,2026-07-09,4,1
u_001,2026-07-10,5,1
u_001,2026-07-11,2,1
u_001,2026-07-12,4,1
u_001,2026-07-13,5,1
u_001,2026-07-14,5,1
u_001,2026-07-15,5,1
u_001,2026-07-16,5,1
u_001,2026-07-17,5,1
u_002,2026-07-04,5,1
u_002,2026-07-05,5,2
u_002,2026-07-06,8,2
u_002,2026-07-07,10,1
u_002,2026-07-08,8,2
u_002,2026-07-09,8,1
u_002,2026-07-10,7,1
u_002,2026-07-11,5,1
u_002,2026-07-12,5,1
u_002,2026-07-13,10,1
u_002,2026-07-14,8,2
u_002,2026-07-15,8,1
u_002,2026-07-16,8,1
u_002,2026-07-17,8,2
u_003,2026-07-04,5,2
u_003,2026-07-05,5,1
u_003,2026-07-06,6,3
u_003,2026-07-07,6,2
u_003,2026-07-08,6,1
u_003,2026-07-09,6,2
u_003,2026-07-10,6,2
u_003,2026-07-11,4,1
u_003,2026-07-12,5,2
u_003,2026-07-13,6,2
u_003,2026-07-14,6,1
u_003,2026-07-15,6,2
u_003,2026-07-16,6,2
u_003,2026-07-17,6,1
u_004,2026-07-04,4,2
u_004,2026-07-05,4,2
u_004,2026-07-06,9,2
u_004,2026-07-07,9,3
u_004,2026-07-08,9,2
u_004,2026-07-09,11,2
u_004,2026-07-10,9,3
u_004,2026-07-11,4,2
u_004,2026-07-12,3,0
u_004,2026-07-13,9,3
u_004,2026-07-14,9,2
u_004,2026-07-15,11,1
u_004,2026-07-16,9,3
u_004,2026-07-17,9,2
u_005,2026-07-04,5,1
u_005,2026-07-05,4,3
u_005,2026-07-06,7,3
u_005,2026-07-07,7,2
u_005,2026-07-08,7,3
u_005,2026-07-09,7,3
u_005,2026-07-10,9,3
u_005,2026-07-11,4,2
u_005,2026-07-12,4,2
u_005,2026-07-13,6,2
u_005,2026-07-14,7,3
u_005,2026-07-15,7,2
u_005,2026-07-16,9,2
u_005,2026-07-17,7,3
u_006,2026-07-04,2,2
u_006,2026-07-05,3,2
u_006,2026-07-06,7,3
u_006,2026-07-07,7,2
u_006,2026-07-08,7,1
u_006,2026-07-09,7,3
u_006,2026-07-10,7,2
u_006,2026-07-11,4,3
u_006,2026-07-12,2,2
u_006,2026-07-13,7,2
u_006,2026-07-14,6,1
u_006,2026-07-15,7,3
u_006,2026-07-16,7,2
u_006,2026-07-17,9,2
u_007,2026-07-04,6,4
u_007,2026-07-05,6,3
u_007,2026-07-06,8,2
u_007,2026-07-07,9,5
u_007,2026-07-08,9,4
u_007,2026-07-09,9,3
u_007,2026-07-10,9,5
u_007,2026-07-11,6,3
u_007,2026-07-12,6,2
u_007,2026-07-13,9,5
u_007,2026-07-14,9,4
u_007,2026-07-15,8,2
u_007,2026-07-16,9,5
u_007,2026-07-17,9,4
u_008,2026-07-04,10,4
u_008,2026-07-05,10,6
u_008,2026-07-06,5,2
u_008,2026-07-07,6,1
u_008,2026-07-08,5,3
u_008,2026-07-09,5,2
u_008,2026-07-10,5,1
u_008,2026-07-11,10,6
u_008,2026-07-12,10,5
u_008,2026-07-13,7,1
u_008,2026-07-14,5,3
u_008,2026-07-15,5,2
u_008,2026-07-16,4,1
u_008,2026-07-17,5,3
u_009,2026-07-04,8,1
u_009,2026-07-05,9,1
u_009,2026-07-06,10,1
u_009,2026-07-07,11,1
u_009,2026-07-08,8,1
u_009,2026-07-09,9,1
u_009,2026-07-10,10,1
u_009,2026-07-11,11,1
u_009,2026-07-12,8,1
u_009,2026-07-13,9,1
u_009,2026-07-14,10,0
u_009,2026-07-15,11,1
u_009,2026-07-16,8,1
u_009,2026-07-17,9,0
u_010,2026-07-04,4,3
u_010,2026-07-05,4,2
u_010,2026-07-06,9,2
u_010,2026-07-07,9,4
u_010,2026-07-08,9,3
u_010,2026-07-09,10,2
u_010,2026-07-10,9,4
u_010,2026-07-11,4,2
u_010,2026-07-12,4,1
u_010,2026-07-13,9,4
u_010,2026-07-14,9,3
u_010,2026-07-15,11,2
u_010,2026-07-16,9,4
u_010,2026-07-17,9,3
u_011,2026-07-04,8,2
u_011,2026-07-05,9,2
u_011,2026-07-06,8,2
u_011,2026-07-07,8,1
u_011,2026-07-08,9,2
u_011,2026-07-09,8,1
u_011,2026-07-10,9,1
u_011,2026-07-11,9,1
u_011,2026-07-12,7,1
u_011,2026-07-13,8,1
u_011,2026-07-14,9,1
u_011,2026-07-15,8,1
u_011,2026-07-16,10,1
u_011,2026-07-17,9,1
u_012,2026-07-04,5,1
u_012,2026-07-05,7,1
u_012,2026-07-06,8,2
u_012,2026-07-07,8,1
u_012,2026-07-08,8,1
u_012,2026-07-09,8,2
u_012,2026-07-10,8,1
u_012,2026-07-11,6,1
u_012,2026-07-12,5,1
u_012,2026-07-13,8,1
u_012,2026-07-14,8,1
u_012,2026-07-15,8,2
u_012,2026-07-16,8,1
u_012,2026-07-17,10,1
u_013,2026-07-04,4,2
u_013,2026-07-05,4,1
u_013,2026-07-06,9,2
u_013,2026-07-07,7,2
u_013,2026-07-08,7,2
u_013,2026-07-09,7,1
u_013,2026-07-10,7,2
u_013,2026-07-11,4,1
u_013,2026-07-12,5,0
u_013,2026-07-13,7,2
u_013,2026-07-14,7,2
u_013,2026-07-15,7,1
u_013,2026-07-16,7,2
u_013,2026-07-17,7,2
u_014,2026-07-04,3,0
u_014,2026-07-05,4,3
u_014,2026-07-06,5,2
u_014,2026-07-07,5,1
u_014,2026-07-08,5,3
u_014,2026-07-09,5,2
u_014,2026-07-10,5,1
u_014,2026-07-11,4,3
u_014,2026-07-12,4,2
u_014,2026-07-13,4,1
u_014,2026-07-14,5,3
u_014,2026-07-15,5,2
u_014,2026-07-16,5,1
u_014,2026-07-17,5,3
u_015,2026-07-04,7,1
u_015,2026-07-05,6,1
u_015,2026-07-06,12,3
u_015,2026-07-07,12,3
u_015,2026-07-08,14,2
u_015,2026-07-09,12,3
u_015,2026-07-10,12,3
u_015,2026-07-11,7,1
u_015,2026-07-12,7,2
u_015,2026-07-13,12,3
u_015,2026-07-14,13,2
u_015,2026-07-15,12,3
u_015,2026-07-16,12,3
u_015,2026-07-17,12,2
u_016,2026-07-04,2,2
u_016,2026-07-05,2,1
u_016,2026-07-06,6,1
u_016,2026-07-07,7,3
u_016,2026-07-08,7,2
u_016,2026-07-09,9,2
u_016,2026-07-10,7,3
u_016,2026-07-11,2,1
u_016,2026-07-12,2,0
u_016,2026-07-13,7,3
u_016,2026-07-14,7,2
u_016,2026-07-15,8,2
u_016,2026-07-16,7,3
u_016,2026-07-17,7,2
u_017,2026-07-04,3,2
u_017,2026-07-05,1,1
u_017,2026-07-06,6,2
u_017,2026-07-07,5,1
u_017,2026-07-08,6,3
u_017,2026-07-09,6,2
u_017,2026-07-10,8,2
u_017,2026-07-11,1,1
u_017,2026-07-12,1,1
u_017,2026-07-13,6,1
u_017,2026-07-14,6,3
u_017,2026-07-15,6,2
u_017,2026-07-16,7,1
u_017,2026-07-17,6,3
u_018,2026-07-04,10,5
u_018,2026-07-05,12,5
u_018,2026-07-06,5,3
u_018,2026-07-07,5,2
u_018,2026-07-08,4,1
u_018,2026-07-09,5,3
u_018,2026-07-10,5,2
u_018,2026-07-11,12,5
u_018,2026-07-12,10,6
u_018,2026-07-13,5,2
u_018,2026-07-14,5,1
u_018,2026-07-15,5,3
u_018,2026-07-16,5,2
u_018,2026-07-17,6,2
u_019,2026-07-04,5,3
u_019,2026-07-05,5,2
u_019,2026-07-06,6,1
u_019,2026-07-07,6,3
u_019,2026-07-08,6,2
u_019,2026-07-09,5,1
u_019,2026-07-10,6,3
u_019,2026-07-11,5,2
u_019,2026-07-12,5,1
u_019,2026-07-13,6,3
u_019,2026-07-14,6,2
u_019,2026-07-15,6,1
u_019,2026-07-16,6,3
u_019,2026-07-17,6,2
u_020,2026-07-04,5,1
u_020,2026-07-05,5,3
u_020,2026-07-06,8,3
u_020,2026-07-07,10,2
u_020,2026-07-08,8,4
u_020,2026-07-09,8,3
u_020,2026-07-10,7,1
u_020,2026-07-11,5,3
u_020,2026-07-12,5,2
u_020,2026-07-13,10,2
u_020,2026-07-14,8,4
u_020,2026-07-15,8,3
u_020,2026-07-16,8,2
u_020,2026-07-17,8,4
u_021,2026-07-04,7,1
u_021,2026-07-05,7,1
u_021,2026-07-06,2,1
u_021,2026-07-07,2,1
u_021,2026-07-08,4,1
u_021,2026-07-09,2,1
u_021,2026-07-10,2,1
u_021,2026-07-11,6,1
u_021,2026-07-12,7,1
u_021,2026-07-13,2,0
u_021,2026-07-14,4,1
u_021,2026-07-15,2,0
u_021,2026-07-16,2,0
u_021,2026-07-17,2,0
u_022,2026-07-04,4,1
u_022,2026-07-05,4,1
u_022,2026-07-06,9,1
u_022,2026-07-07,9,2
